Type,Age,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Fee,Description,AdoptionSpeed,Images,Breed
Dog,84.0,Male,Brown,Cream,Unknown,Small,No,Unknown,Yes,No,Healthy,0.0,He is either lost or abandoned. Please contact us if you know his owner...,4.0,3b178aa59-5.jpg,Terrier
Dog,1.0,Female,Black,Unknown,Unknown,Medium,Yes,No,Yes,No,Healthy,50.0,"Hi, my name is Rose. I'm very friendly and am always happy to see my rescuer when it's mealtime. I can't wait to find a new home where I will be given so much love, care and attention. I am very easy to train since I'm still young. I will grow to be a black beauty and be happy to see you always. Hopefully you will spay me when I'm 6 months old. One thing I can assure you of is my infinite love.",3.0,2fbf2cb7c-1.jpg,Mixed_Breed
Dog,1.0,Male,Brown,Unknown,Unknown,Medium,Yes,No,No,No,Healthy,0.0,"Puppy's age is unknown. My husband went mountain biking on the 31 April when he saw this puppy trapped in a big drain. With the help of a pak cik in the Kampung, they used a ladder and my husband decended to pick it up. The kampung pwople said that the puppy was in this drain the entire night but they can't pick it up because haram. The puppy's mom came shortly and it was returned to his mom. Shortly about an hour later, the pak cik called my husband again to say that the same puppy had fallen into the same drain again. What a fate of this pup. We rushed our way there to the rescue, afrain this pup might drown. On our way, the pak cik called to say he went into the drain to pick this puppy up already and they put him into a basket in an empty lot for us to fetch it. We arrived in a hot sunny day. Found this puppy too exhausted to move. We brough him home, bathed and fed. Right now, puppy is sleeping, recovering from this traumatic experience. The breed is unknown. Think it's a regular estate dog. We hope someone reading this shows compassion and adopt, take good care of him.",1.0,97f683e04-1.jpg,Mixed_Breed
Dog,3.0,Male,Black,Unknown,Unknown,Medium,Yes,Unknown,Yes,Unknown,Healthy,0.0,"Hi, I'm Randy, few weeks ago I got beaten by human, and caused me broken leg. But I'm lucky as I was rescued by a rescuer, she brought me to vet for treatment. Now, I have fully recovered and healthy. I hope someone can give me a new home.",4.0,479500716-2.jpg,Mixed_Breed
Dog,8.0,Male,Brown,Unknown,Unknown,Large,Yes,Yes,Yes,No,Healthy,0.0,"Abandoned puppy looking for a home. Hi, he is Johnny, less than 1 year old, he wad abandoned by previous owner. I can only temporary fosteres him as I already have 3 dogs with me. He is playful, friendly, very manja to people who treat him well. Interested please call us  thanks.",3.0,4a2270c3e-4.jpg,Mixed_Breed
Dog,24.0,Male,Black,White,Unknown,Medium,No,No,Yes,No,Healthy,0.0,"For serious adopter, please do call or msg for more details, thanks!",1.0,86386b0c0-4.jpg,Mixed_Breed
Dog,12.0,Male,Brown,Golden,Unknown,Medium,Yes,Yes,Yes,No,Healthy,0.0,Calm and nice.,2.0,99cbd42dc-2.jpg,Mixed_Breed
Dog,18.0,Male,Golden,Unknown,Unknown,Medium,Unknown,Yes,Yes,No,Healthy,300.0,"Whisky was surrendered when his owner moved in to an apartment. He is friendly and enjoy walking. He is attached to human and requires affectionate cares. We highly recommend him for family with young kids or retirees. A total of RM will be charged to cover the cost of his spaying, vaccination and deworming fee. Receipt and medical card will be provided. We are opening request for any interested adopter for Whisky. Only genuine dog lover will be considered. If you have the heart for Whisky, please see our requirement below : 1) Adopter must be a Malaysian or a PR. 2) Adopter must be an animal lover and preferably have experience in handling dog. 3) No long hour of caging or tied on leash. 4) Provide necessary medical needs (vaccinations, deworming, flea/tick/heartworm prevention etc.) 5) Adopter must add us on Facebook so we can receive his progress update. 6) During the initial stage of adoption, allow visitation so we can ensure Whisky is adjusting well to his new environment. For this reason, adopter residing in Klang Valley is highly preferred. 7) Approval for this adoption is only for the successful adopter. Whisky cannot be transferred to third party without seeking our permission. If you're interested, please contact me by sms or e-mail. Provide us your details (particular, type of house and experience with dog).",3.0,df0b49ce7-2.jpg,Cocker_Spaniel
Dog,36.0,Male,Black,Unknown,Unknown,Medium,Yes,No,No,No,Healthy,0.0,Rocky was found and rescued along the LDP highway last week. He's currently being taken care of by the very kind Puspa Rani. Rocky is friendly and loving. He's up for adoption to responsible owners. Please call Puspa at if you are interested. Thanks!,3.0,a34cf041b-1.jpg,German_Shepherd_Dog
Cat,4.0,Female,Brown,Gray,White,Small,No,No,No,No,Healthy,0.0,Minnie is a 4 months old kitten. An owner since minnie was a cute little kitten.Loves to sleep and doing her own business. Know how to use the cat litter box. 😽,4.0,6469bb262-2.jpg,Domestic_Medium_Hair
Dog,1.0,Female,Black,Brown,White,Medium,Unknown,No,No,No,Healthy,0.0,Fat little girl with 3 colours(brown white black) near ear and eyes,1.0,74a9b9a9e-1.jpg,Mixed_Breed
Dog,84.0,Female,White,Unknown,Unknown,Medium,Yes,Unknown,Unknown,Unknown,Healthy,0.0,"This is a funny clever dog . Very hyper active . Friendly all time to live with 2 dogs , and caring to my kids too . She can "" EAT "" anything , so have to care with that . Because of migrate issues I force to give up to continue love her . Is there anyone can help me take care her ( must take good care ) , I can offers pay monthly caring fees .",4.0,92189aa31-1.jpg,Bull_Terrier
Dog,2.0,Female,Black,Unknown,Unknown,Medium,No,Yes,Yes,No,Healthy,0.0,"Black Mixed Breed puppy available for adoption. Very quiet,innocent and cute puppy. 8 Family rejected her just because she is black, Please give a loving home for this innocent gurl. She is deserve to live happily like others,Please consider about her. She is such a black beauty",4.0,2857efde3-1.jpg,Mixed_Breed
Dog,2.0,Male,Black,Brown,White,Large,Yes,Yes,Yes,No,Healthy,0.0,"JD is looking for a new home. Playful and adorable pup. He is among 8 siblings, all of whom have been adopted (see Do-Re-Mi-La-Ti-Do). Adopter must be willing to vaccinate and castrate him. No tying up or caging for long hours. Thank you for all your interest. His adopter Li Hui has decided to keep him after all.",1.0,f8d16f3ef-1.jpg,Belgian_Shepherd_Malinois
Dog,2.0,Female,Brown,White,Unknown,Medium,Yes,Unknown,Unknown,No,Healthy,0.0,Lovely puppy looking for a forever home. Commitment to spay is compulsory. If u are interested to adopt pls contact Rachel,3.0,6219a1e79-1.jpg,English_Springer_Spaniel
Dog,2.0,Female,Black,Unknown,Unknown,Medium,Yes,Yes,Yes,No,Healthy,0.0,Lovely playful puppy. Non stop tail wagging whenever there is someone around,4.0,d48e16ef4-2.jpg,Mixed_Breed
Dog,10.0,Female,Black,Brown,White,Medium,Yes,Yes,Yes,Unknown,Healthy,0.0,She is active cute and also food lover She was well trained to toilet in cage and poop in certain place The only tricks I teach her is to lie down & sit Need to re-home her as soon as possible as my house dog always bite her,0.0,615213076-4.jpg,Beagle
Dog,4.0,Male,White,Unknown,Unknown,Medium,No,Yes,Yes,No,Healthy,0.0,"Rory is now ready for adoption. Please share. He is such a sweetheart, friendly & extremely manja. Please find him a home. Rory was rescued from an owner who used to beat him with a stick that had long nails in it which tore up his skin. When we rescued him he was on a leash that was too short to allow him to sit properly & there were stains of dried blood on the floor around him. He was not fed and there was no water bowl. He has now recovered very well. We look to you for his happy ending. Thank you. ps: For those interested, photos of Rory at point of rescue are available on earlier posts on our page at www/facebook.com/furkidsfarm.",4.0,1ba29c00b-1.jpg,Mixed_Breed
Dog,8.0,Male,Black,Brown,Unknown,Medium,Yes,Unknown,Unknown,Unknown,Healthy,0.0,"This pet belonged to my mom's worker, who takes care of the office. Had it since puppyhood. The worker couldnt take it home as her place was a rented home, and left the dog in the office, creating a mess. This dog is good tempered, playful and I havent interacted with it before except to take tis picture. Generally find it very active and friendly to people. It was kept in the office to ward of rats but we have a mamak stall next to our office, and may create fear when it accidentally escapes out of the office. Perhaps he deserves a better home and to be left in an office. He is about: 2 ft in length and 1.5 ft in height.",1.0,91b580948-1.jpg,Mixed_Breed
Cat,1.0,Male,Golden,Unknown,Unknown,Small,Yes,No,No,No,Healthy,0.0,He is very obedient and smart.I hope he would find someone who is caring and loving to take good care of him. He doesn't has any kind of attitude problem.,2.0,754240b6b-2.jpg,Siamese
